Time,F-Scale,Location,County,State,Lat,Lon,Comments
1348,UNK,7 SSW DECATUR,MEIGS,TN,35.43,-84.84,POSSIBLE TORNADO TOUCHDOWN NEAR BRITTSVILLE RD AND HIWASSE BRIDGE. SEVERAL TREES AND POWER LINES DOWN REPORTED BY DISPATCH. (MRX)
1353,UNK,NEW CARLISLE,CLARK,OH,39.94,-84.03,NWS STORM SURVEY CONFIRMS LOW-END EF0 TORNADO WHICH TOUCHED DOWN SOUTH OF NEW CARLISLE AND TERMINATED ON THE NORTHEAST SIDE OF THE CITY. DAMAGE INCLUDED UPROOTED TREES. (ILN)
1415,UNK,ESPERANZA,PONTOTOC,MS,34.35,-89.16,BRIEF TORNADO TOUCHDOWN. NO DAMAGE (MEG)
1537,UNK,6 S LAWRENCEBURG,LAWRENCE,TN,35.16,-87.34,TORNADO WITH DAMAGE ON PURCELL LANE IN LEOMA (OHX)
1629,UNK,1 N DECATUR,MORGAN,AL,34.62,-86.98,TOUCHDOWN JUST NORTH OF DECATUR (HUN)
1631,UNK,ATHENS,LIMESTONE,AL,34.8,-86.97,DEBRIS NEAR ATHENS HIGH SCHOOL (HUN)
1730,UNK,2 E SOMERVILLE,MORGAN,AL,34.47,-86.76,NEAR ANTIOCH (HUN)
1839,UNK,5 NE WATER VALLEY,LAFAYETTE,MS,34.21,-89.57,*** 2 INJ *** A NUMBER OF HOMES AND MOBILE HOMES WERE DAMAGED ALONG THE PATH. EF-3 TORNADO WITH 140 MPH WINDS. PATH LENGTH 13.6 MILES. MAX WIDTH 1/4 MILE. END PT. 34.32 (MEG)
1850,UNK,9 S OXFORD,LAFAYETTE,MS,34.23,-89.53,CONFIRMED TRAILER DESTROYED. HOUSE PARTIALLY DESTROYED. MANY TREES AND POWERLINES DOWN. (MEG)
1853,UNK,OXFORD,LAFAYETTE,MS,34.36,-89.53,TORNADO TOUCHDOWN WITH DAMAGE. EXTENT UNKNOWN. COUNTY ROADS 369 AND 469 SOUTH OF OXFORD. (MEG)
1900,UNK,SPEAKE,LAWRENCE,AL,34.42,-87.17,TORNADO REPORTED ON THE GROUND. (HUN)
1928,UNK,5 N PHILADELPHIA,NESHOBA,MS,32.85,-89.11,STRUCTURAL DAMAGE AND NUMEROUS TREES UPROOTED. POWER LINES DOWN ACROSS HIGHWAY 21. (JAN)
1930,UNK,1 N PHILADELPHIA,NESHOBA,MS,32.79,-89.11,*** 3 FATAL,8 INJ *** TORNADO RATED EF4 WITH MAXIMUM WINDS OF 180 MPH...PATH LENGTH OF 29 MILES AND PATH WIDTH OF ONE HALF MILE..MOVING FROM 1 MILE NORTH OF PHILADELPH (JAN)
1936,UNK,1 W CLEVELAND,BRADLEY,TN,35.18,-84.89,EF1. MAX WINDS 90 MPH. 2 MILE PATH LENGTH. MAX WIDTH OF 150 YARDS. (MRX)
1943,UNK,4 SSW NANIH WAIYA,NESHOBA,MS,32.87,-88.97,CHICKEN HOUSES BLOWN AWAY. TORNADO REPORTED ON GROUND BY EMERGENCY MANAGEMENT SPOTTERS. (JAN)
1943,UNK,4 E NANIH WAIYA,KEMPER,MS,32.92,-88.89,EXTENSIVE DAMAGE...MOBILE HOMES DAMAGED OR DESTROYED...LARGE NUMBERS OF TREES DOWN PREVENTING EMERGENCY WORKERS FROM GETTING INTO AREA. UNKNOWN NUMBER OF INJURIES. (JAN)
1944,UNK,2 SSE NANIH WAIYA,NESHOBA,MS,32.9,-88.94,TORNADO STILL ON THE GROUND (JAN)
1945,UNK,4 E NANIH WAIYA,KEMPER,MS,32.92,-88.89,*** 3 FATAL *** UPDATE...EXTENSIVE DAMAGE...MOBILE HOMES DAMAGED OR DESTROYED...LARGE NUMBERS OF TREES DOWN PREVENTING EMERGENCY WORKERS FROM GETTING INTO AREA. MEDIA R (JAN)
1945,UNK,GOOD HOPE,CULLMAN,AL,34.11,-86.86,TORNADO ON THE GROUND. (HUN)
1946,UNK,5 WSW GOOD HOPE,CULLMAN,AL,34.09,-86.96,TORNADO ON THE GROUND NEAR THE INTERSECTION OF CR 222 AND CR 310 NEAR GOOD HOPE. (HUN)
1948,UNK,5 SE VERNON,WINSTON,MS,32.93,-88.87,*** 7 INJ *** 10-20 HOMES SEVERELY DAMAGED ALONG WITH NUMEROUS TREES DOWN AND ROADS BLOCKED. THE TORNADO CROSSED HWY 397...SHUQUALAK RD AND ROY JR RD AS IT MOVED INTO S (JAN)
1948,UNK,3 N BELLEFONTAINE,WEBSTER,MS,33.69,-89.31,THE TORNADO SNAPPED A FEW TREES ALONG THE PATH IN WEBSTER COUNTY BEFORE ENTERING CALHOUN COUNTY. EF1 RATING PRELIMINARY PENDING COORDINATION WITH WFO MEG. SURVEY DONE V (JAN)
1950,UNK,3 ESE HINKLE,ALCORN,MS,34.77,-88.51,MINOR DAMAGE TO A COUPLE HOUSES WITH TREES DOWN. EF-0 TORNADO WITH ESTIMATED WINDS OF 65 MPH. PATH LENGTH OF 2.32 MILES. MAX PATH WIDTH OF 50 YARDS. END PT. 34.7941,-8 (MEG)
1957,UNK,4 N TRACE STATE PARK,PONTOTOC,MS,34.32,-88.88,DAMAGE TO A COUPLE HOMES WITH TREES DOWN. EF-0 TORNADO WITH ESTIMATED WINDS OF 70 MPH. PATH LENGTH OF 1.02 MILES. MAX PATH WIDTH OF 75 YARDS. END PT. 34.3259,-88.8683. (MEG)
1957,UNK,2 E RIENZI,ALCORN,MS,34.77,-88.5,TORNADO ON THE GROUND AT HWY 356 EAST OF RIENZI. DEBRIS IN THE AIR WEST OF LEEDY (MEG)
2004,UNK,2 NNW WOODLAND,CHICKASAW,MS,33.81,-89.07,*** 7 FATAL,7 INJ *** 15 TO 20 HOMES DAMAGED OR DESTROYED. HUNDREDS OF TREES SNAPPED OR DEBARKED. POWER LINES DOWN. CONTINUED 34.7 MILES TO HIGHWAY 6 IN BIGBEE. EF-3 W (MEG)
2005,UNK,5 NNE DETROIT,MARION,AL,34.09,-88.13,*** 18 FATAL *** AN EF-5 TORNADO TOUCHED DOWN SW OF HAMILTON AND MOVED NE ACROSS MARION COUNTY AND CONTINUED INTO FRANKLIN COUNTY...SEE LSR/S FROM WFO HUN. THE TORNADO (BMX)
2006,UNK,5 NNW CRYSTAL SPRINGS,HINDS,MS,32.05,-90.39,SPOTTERS REPORT TORNADO ON THE GROUND (JAN)
2006,UNK,5 SW MACON,NOXUBEE,MS,33.06,-88.63,SPOTTER REPORTS TORNADO ON THE GROUND (JAN)
2006,UNK,1 S VAIDEN,CARROLL,MS,33.32,-89.75,10 HOMES DAMAGED...TREES AND POWERLINES DOWN...NO INJURIES (JAN)
2007,UNK,BAILEYTON,CULLMAN,AL,34.26,-86.61,TORNADO ON THE GROUND (HUN)
2009,UNK,2 SW MACON,NOXUBEE,MS,33.09,-88.59,TREES DOWN (JAN)
2010,UNK,3 SE HOUSTON,CHICKASAW,MS,33.87,-88.96,*** 3 FATAL,7 INJ *** EMERGENCY MANAGER REPORTS 3 FATALITIES AND 7 INJURIES. FATALITY AND INJURY NUMBERS ARE PRELIMINARY. (MEG)
2011,UNK,5 NW CRYSTAL SPRINGS,COPIAH,MS,32.04,-90.42,*** 2 INJ *** EF2 TORNADO OCCURRED ALONG THE COPIAH/HIND LINE JUST NW OF CRYSTAL SPRINGS TO JUST S OF TERRY. DAMAGE BEGAN JUST WEST OF GALLITON RD...THEN CROSSED HWY 27 (JAN)
2014,UNK,6 NW CRYSTAL SPRINGS,COPIAH,MS,32.05,-90.43,*** 2 INJ *** 1 HOME DESTROYED...5 HOMES WITH MAJOR DAMAGE...5 MORE UNLIVEABLE. DMG OCCURRED ALONG HWY 27 TO THE HINDS COUNTY LINE. (JAN)
2014,UNK,HAMILTON,MARION,AL,34.14,-87.98,TORNADO REPORTED ON THE GROUD JUST WEST OF THE MARION COUNTY AIRPORT IN HAMILTON. (BMX)
2015,UNK,5 SSW KILMICHAEL,MONTGOMERY,MS,33.37,-89.59,HEAVY TREE AND POWERLINE DAMAGE REPORTED NEAR POPLAR CREEK...KILMICHAEL AREAS...LIKELY TORNADO BASED ON RADAR...REPORTED VIA NWS JAN FACEBOOK PAGE (JAN)
2015,UNK,BALDWYN,LEE,MS,34.5,-88.63,MOVING TOWARD WHEELER (MEG)
2016,UNK,HULACO,MORGAN,AL,34.31,-86.6,TORNADO ON GROUND (HUN)
2017,UNK,4 SE HOUSTON,CHICKASAW,MS,33.86,-88.95,LARGE TORNADO REPORTED BY CHASERS (MEG)
2018,UNK,3 NE MACON,NOXUBEE,MS,33.15,-88.52,THIS TORNADO TOUCHED DOWN ALONG MACEDONIA CEMETARY RD AN TRACKED 9 MI TO NEAR THE INTERSECTION OF HWY 792 AND HWY 388. MANY TREES WERE SNAPPED/UPROOTED ALONG THE PATH. (JAN)
2020,UNK,3 SW TERRY,HINDS,MS,32.07,-90.33,SPOTTER REPORTED TORNADO CROSSING MIDWAY RD (JAN)
2023,UNK,8 NE MACON,NOXUBEE,MS,33.2,-88.46,TWO BARNS DESTROYED ALONG WITH TREES DOWN ALONG DEERBROOK RD. (JAN)
2023,UNK,JOPPA,CULLMAN,AL,34.3,-86.56,TORNADO ON THE GROUND (HUN)
2023,UNK,9 E JONESBORO,CRAIGHEAD,AR,35.82,-90.53,TORNADO ON THE GROUND BETWEEN BLACK OAK AND MONNET (MEG)
2024,UNK,3 NNW ARAB,MARSHALL,AL,34.36,-86.51,TORNADO ON THE GROUND (HUN)
2025,UNK,HULACO,MORGAN,AL,34.31,-86.6,STRUCTURAL DAMAGE ON HWY 67 (HUN)
2027,UNK,4 S POLKVILLE,SMITH,MS,32.13,-89.69,TORNADO RATED EF3 WITH MAXIMUM WIND SPEED OF 130 MPH...PATH LENGTH OF 8.2 MILES AND PATH WIDTH OF ONE QUARTER MILE MOVING FROM 3.6 MILES SOUTH OF POLKVILLE TO 2.6 MILES (JAN)
2028,UNK,3 S OKOLONA,CHICKASAW,MS,33.96,-88.75,TORNADO ON THE GROUND SOUTH OF OKOLONA (MEG)
2028,UNK,HACKLEBURG,MARION,AL,34.27,-87.83,TORNADO ON GROUND JUST MOVED THROUGH DOWNTOWN HACKLEBURG. IN NOW NORTH OF 345. (BMX)
2030,UNK,PHIL CAMPBELL,FRANKLIN,AL,34.35,-87.71,TORNADO ON GROUND ON HIGHWAY 243 IN PHIL CAMPBELL. (HUN)
2031,UNK,3 S LEACHVILLE,MISSISSIPPI,AR,35.88,-90.26,TORNADO ON THE GROUND (MEG)
2032,UNK,NEW WREN,MONROE,MS,33.97,-88.62,*** 4 FATAL *** EMERGENCY MANAGER REPORTS 4 PRELIMINARY FATALITIES AND SIGNIFICANT DAMAGE. ADDITIONAL INJURIES UNKNOWN. (MEG)
2035,UNK,ARAB,MARSHALL,AL,34.32,-86.5,NUMEROUS STRUCTURES DAMAGED ALONG HWY69 ARAB TO MARSHALL MEDICAL NORTH. POSSIBLE INJURIES (HUN)
2038,UNK,3 ENE PICKENSVILLE,PICKENS,AL,33.25,-88.22,*** 10 FATAL *** A LONG TRACK TORNADO STARTED 3 MILES NORTHEAST OF PICKENSVILLE. A CONTINUOUS PATH OF DAMAGE WASNOTED FROM HERE TO CORDOVA WITH MAXIMUM DAMAGE OBSERVED (BMX)
2040,UNK,NEW HOPE,MADISON,AL,34.54,-86.42,DEBRIS FALLING OUT OF SKY. LOCATION WAS MAPLE ROAD AND BUTLER MILL ROAD. (HUN)
2043,UNK,UNION GROVE,MARSHALL,AL,34.4,-86.45,POWER LINES DOWN AND DEBRIS BLOCKING ROADS. (HUN)
2044,UNK,SMITHVILLE,MONROE,MS,34.07,-88.4,*** 14 FATAL,40 INJ *** DOZENS OF NEWLY CONSTRUCTED TWO STORY FULLY BRICK HOMES LEVELED. TREES DEBARKED. PROFESSIONAL BUILDINGS DESTROYED. ESTIMATED WINDS 205 MPH. 1/2 (MEG)
2045,UNK,6 ENE SCOOBA,KEMPER,MS,32.87,-88.39,EXTENSIVE DAMAGE ON SUNFLOWER AND BINNSVILLE ROADS (JAN)
2046,UNK,MT HOPE,LAWRENCE,AL,34.46,-87.48,TORNADO ON GROUND WITH DEBRIS AND ROARING SOUND. (HUN)
2047,UNK,2 ENE SCOOBA,KEMPER,MS,32.84,-88.45,TORNADO RATED HIGH-END EF2 WITH 135 MPH WINDS...PATH LENGTH OF 7 MILES AND PATH WIDTH OF ONE HALF MILE MOVING FROM 2 NE OF SCOOBA TO 9 MILES NE SCOOBA WHERE IT CONTINUE (JAN)
2048,UNK,MT HOPE,LAWRENCE,AL,34.46,-87.48,TORNADO ON GROUND. (HUN)
2052,UNK,HATTON,LAWRENCE,AL,34.56,-87.41,MT HOPE TO HATTON. NUMEROUS HOUSES ARE GONE. (HUN)
2053,UNK,HATTON,LAWRENCE,AL,34.56,-87.41,ONE HALF MILE WIDE TORNADO ALONG HWY 157 AND HWY 101 NEAR HATTON. (HUN)
2055,UNK,MOULTON,LAWRENCE,AL,34.48,-87.29,TORNADO ON GROUN NORTH OF MOULTON AT 102 AND CR41. (HUN)
2057,UNK,9 W WESTON,MARION,AL,34.16,-88.18,*** 6 FATAL *** THE TORNADO PATH IN AL STARTED IN MARION COUNTY NEAR COUNTY ROAD 93 AND DRY CREEK ROAD. A FEW STRUCTURES WERE DAMAGED AND NUMEROUS TREES WERE SNAPPED OF (BMX)
2057,UNK,8 S LAWRENCEBURG,LAWRENCE,TN,35.13,-87.34,LAW ENFORECEMENT CONFIRMS TORNADO GLENDALE ROAD AND HWY 98 S OF LEOMA. (OHX)
2105,UNK,LUBBUB,PICKENS,AL,33.43,-87.87,LAW ENFORCEMENT REPORTS TORNADO ON THE GROUND IN PICKENS COUNTY MOVING TOWARD BROWNVILLE COMMUNITY. (BMX)
2107,UNK,HULACO,MORGAN,AL,34.31,-86.6,TORNADO ON GROUND HULACO RD. (HUN)
2110,UNK,2 W CHAFFEE,SCOTT,MO,37.18,-89.7,(PAH)
2111,UNK,4 WNW ARAB,MARSHALL,AL,34.33,-86.56,TREE FELL ON CAR WITH ENTRAPMENT. INJURIES UNKNOWN. (HUN)
2115,UNK,1 SE IDER,DEKALB,AL,34.69,-85.65,COUNTY ROAD 155 AND 814. MULTIPLE HOUSES DAMAGED WITH INJURIES. (HUN)
2116,UNK,4 W TRINITY,LAWRENCE,AL,34.61,-87.15,TORNADO REPORTED ON GROUND IN MORGAN COUNTY MOVING INTO SOURTHERN LIMESTON COUNTY. (HUN)
2120,UNK,N GEIGER,SUMTER,AL,32.87,-88.31,DAMAGE PATH REPORTED JUST NORTH OF GEIGER. EMERGENCY RESPONDERS ENROUTE. (BMX)
2120,UNK,1 E MOORES BRIDGE,TUSCALOOSA,AL,33.45,-87.78,DAMAGE IN THE OLD MOORES BRIDGE AREA. (BMX)
2126,UNK,HUNTSVILLE,MADISON,AL,34.73,-86.59,TORNADO ON GROUND LILLY FLAG AND SOUTH MEMORIAL PARKWAY. (HUN)
2127,UNK,4 S POLKVILLE,SMITH,MS,32.13,-89.69,TORNADO RATED EF3 WITH MAXIMUM WIND SPEED OF 130 MPH...PATH LENGTH OF 8.2 MILES AND PATH WIDTH OF ONE QUARTER MILE MOVING FROM 3.6 MILES SOUTH OF POLKVILLE TO 2.6 MILES (JAN)
2127,UNK,1 N BERRY,FAYETTE,AL,33.68,-87.61,DEBRIS FALLING FROM SKY. (BMX)
2128,UNK,6 ENE SCOOBA,KEMPER,MS,32.87,-88.39,EXTENSIVE DAMAGE ON SUNFLOWER AND BINNSVILLE ROADS (JAN)
2131,UNK,HUNTSVILLE,MADISON,AL,34.73,-86.59,TORNADO ON GROUND. HWY 72 AND MOORESVILLE ROAD. PATH 22 YARDS WIDE. (HUN)
2133,UNK,4 WNW BURNS,SMITH,MS,32.17,-89.61,EM REPORTS TORNADO ON THE GROUND AT INTERSECTION OF STATE HWY 481 AND COUNTY ROAD 503...DEBRIS BALL ON RADAR IN SAME LOCATION...UPDATE...BUILDINGS DESTROYED...MOBILE HO (JAN)
2133,UNK,3 NW CLINTON,GREENE,AL,32.94,-88.03,SPOTTER REPORTS TORNADO ON THE GROUND NEAR THE COMMUNITY OF WEST GREENE. (BMX)
2133,UNK,HARVEST,MADISON,AL,34.86,-86.75,TORNADO ON GROUND AT NICK DAVIS AND INTERSTATE 65. (HUN)
2135,UNK,5 SW TRENTON,DADE,GA,34.82,-85.57,*** 2 FATAL *** NWS SURVEY TEAM HAVE DETERMINED THAT AN EF3 TORNADO MOVED INTO GEORGIA FROM ALABAMA NORTHWEST OF STEWART TOWN WITH WINDS OF 150 MPH. THIS STORM TRACKED (FFC)
2139,UNK,ATHENS,LIMESTONE,AL,34.8,-86.97,WEDGE TORNADO ON GROUND NORTH OF CAPSHAW IN LIMESTONE COUNTY. (HUN)
2140,UNK,5 NNE BURNS,SMITH,MS,32.2,-89.52,FIRE DEPTS REPORTS TOUCHDOWN NEAR LORENA COMMUNITY (JAN)
2140,UNK,TRENTON,DADE,GA,34.87,-85.51,*** 2 FATAL *** DADE COUNTY EMERGENCY MANAGER REPORTS THAT TRENTON HAS TAKEN A HIT FROM A TORNADO. SEVERAL INJURIES HAVE BEEN REPORTED TO DADE COUNTY 911 AND TRAUMA CEN (FFC)
2142,UNK,2 SE HARVEST,MADISON,AL,34.83,-86.72,ON GROUND NEAR SPARKMAN HIGH SCHOOL. (HUN)
2142,UNK,MOUNT VERNON,MONROE,TN,35.41,-84.36,*** 1 INJ *** POSSIBLE TORNADO. INJURY OCCURRED ON GAMBLE GAP ROAD. IN MOUNT VERNON AREA...7 HOUSES DESTROYED...23 WITH MAJOR DAMAGE...50 WITH MINOR DAMAGE. (MRX)
2143,UNK,2 SSW MANTUA,GREENE,AL,33.03,-87.93,*** 65 FATAL,1000 INJ *** NATIONAL WEATHER SERVICE METEOROLOGISTS HAVE SURVEYED THE MASSIVE DAMAGE ASSOCIATED WITH THIS LONG TRACK VIOLENT TORNADO,BY GROUND AND AIR. (BMX)
2144,UNK,4 N MERIDIANVILLE,MADISON,AL,34.9,-86.57,HOMES DAMAGED (HUN)
2145,UNK,2 ESE HARVEST,MADISON,AL,34.85,-86.71,HWY 53 AND JEFF ROAD TORNADO ON GROUND. GAS STATION LEVELED. PIGGLY WIGGLY GROCERY STORE DAMAGED. PEOPLE TRAPPED. (HUN)
2147,UNK,FYFFE,DEKALB,AL,34.45,-85.9,TORNADO ON THE GROUND AT FYFFE AND SHERWOOD (HUN)
2148,UNK,1 SSE HIGDON,DEKALB,AL,34.83,-85.61,SIGNIFICAN STRUCTURAL DAMAGE AT 6247 AND COUNTY ROAD 155 IN CARTERSVILLE. (HUN)
2153,UNK,4 S LOOKOUT MOUNTAIN,WALKER,GA,34.92,-85.35,NWS SURVEY TEAM DETERMINED THIS TORNADO WAS A CONTINUANCE OF THE TORNADO WHICH MOVED THROUGH TRENTON. THIS TORNADO WAS AN EF3...18 MILES LONG AND 0.6 MILES WIDE. ALONG (FFC)
2154,UNK,4 N MERIDIANVILLE,MADISON,AL,34.9,-86.57,TORNADO ON GROUND HWY 231 AND WALKER LANE. (HUN)
2200,UNK,4 S LOOKOUT MOUNTAIN,WALKER,GA,34.92,-85.35,AMATEUR RADIO RELAYED REPORTS OF 20 DAMAGED HOUSES,INCLUDING ONE COMPLETELY DESTROYED HOUSE,IN THE EAGLE LANDING AREA NEAR FLINTSTONE. WALKER COUNTY EMERGENCY MANAGEM (FFC)
2206,UNK,MADISON,MADISON,AL,34.7,-86.75,TORNADO ON GROUND AT U.S. HIGHWAY 72 AND SLAUGHTER ROAD. (HUN)
2207,UNK,DORA,WALKER,AL,33.73,-87.08,TORNADO ON THE GROUND IN DORA. (BMX)
2208,UNK,2 S NEWTON,NEWTON,MS,32.29,-89.16,TORNADO RATED EF3 WITH MAXIMUM WINDS 145 MPH...PATH LENGTH 11 MILES PATH WIDTH 0.25 MILE..MOVING FROM 2 SOUTH OF NEWTON TO 2 NORTH OF HICKORY...LIFTED UP THE END OF A C (JAN)
2209,UNK,TUSCALOOSA,TUSCALOOSA,AL,33.24,-87.54,TORNADO ON THE GROUND ALONG HWY 82 NEAR THE MCFARLAND MALL. (BMX)
2210,UNK,5 NNW GUIN,MARION,AL,34.03,-87.94,*** 10 INJ *** THE TORNADO APPEARED TO TOUCHDOWN SOUTH OF HAMILTON NEAR HIGHWAY 278,COUNTY ROAD 2 AND PHILADELPHIA ROAD WHERE TREE DAMAGE WAS NOTED. THE TORNADO TRACKE (BMX)
2210,UNK,3 SW PICKWICK LANDING S,HARDIN,TN,35.02,-88.27,*** 2 INJ *** HARDWARE STORE DESTROYED IN COUNCE. NUMBER OF HOMES DAMAGED. EF-2 TORNADO WITH ESTIMATED WINDS OF 125 MPH. PATH LENGTH 3.85 MILES. MAX PATH WIDTH 200 YARD (MEG)
2212,UNK,NEWTON,NEWTON,MS,32.32,-89.16,WTOK REPORTS VIEWING A LARGE TORNADO ON THEIR SKYCAM ENTERING NEWTON (JAN)
2212,UNK,SMOKE RISE,BLOUNT,AL,33.89,-86.82,TORNADO REPORTED ON THE GROUND NEAR EXIT 284 ON I-65 AT PHILADELPHIA ROAD. (BMX)
2214,UNK,2 W TRIANGLE,PRINCE WILLIAM,VA,38.55,-77.35,REPORTED BY QUANTICO OBSERVER 1 TO 2 MILES WEST OF QUANTICO. (LWX)
2215,UNK,2 SSE HUNTLAND,FRANKLIN,TN,35.03,-86.25,TORNADO ON GROUND ON FRANCISCO ROAD. (HUN)
2216,UNK,6 SE CHATTANOOGA,HAMILTON,TN,35,-85.18,EF1. MAX WIND OF 90 MPH. NEAR EAST RIDGE. (MRX)
2218,UNK,2 WNW HICKORY,NEWTON,MS,32.33,-89.05,*** 1 INJ *** SEVERAL HOUSES DAMAGED...ROOFS TORN OFF...SIGNIFICANT TREE DAMAGE WITH TREES UPROOTED AND SNAPPED (JAN)
2220,UNK,2 NW HICKORY,NEWTON,MS,32.34,-89.04,TORNADO CROSSED INTERSTATE 20 NEAR HICKORY EXIT. TRAILER DESTROYED AND DEBRIS FALLING FROM SKY. (JAN)
2220,UNK,2 SW PICKWICK DAM,HARDIN,TN,35.03,-88.28,TORNADO DESTROYED HARDWARE STORE ON HWY 57...TRUCKED FLIPPED OVER. SPOTTER SAW FUNNEL CLOUD...THEN STORM MOVED OVER COUNCE...TENNESSEE...AND BECAME RAIN WRAPPED. (MEG)
2230,UNK,3 WSW TISHABEE,GREENE,AL,32.62,-88.05,*** 7 FATAL,50 INJ *** TORNADO RATED EF-3 WITH MAX WINDS OF 145 MPH...PATH LENGTH OF 71.3 MILES. MAX PATH WIDTH 1 MILE. MOVING FROM 3 WSW OF TISHABEE IN GREENE COUNTY (BMX)
2230,UNK,CLEVELAND,BRADLEY,TN,35.18,-84.87,EF1. PATH LENGTH OF 2.5 MILES. PATH WIDTH OF 250 YARDS. MAX WIND OF 100 MPH. (MRX)
2242,UNK,1 ESE RALEIGH,SMITH,MS,32.02,-89.51,*** 7 FATAL,35 INJ *** TORNADO RATED EF4 WITH MAXIMUM WINDS OF 175 MPH...PATH LENGTH OF 65 MILES AND PATH WIDTH OF 0.6 MILES...MOVING FROM 1 ESE RALEIGH IN SMITH COUNT (JAN)
2244,UNK,SUQUALENA,LAUDERDALE,MS,32.44,-88.83,BROADCAST MEDIA REPORTS A TORNADO MOVED NEAR SUQUALENA...UPDATE...TREES AND POWERLINES ON WOODS ROAD (JAN)
2245,UNK,8 NW MERIDIAN,LAUDERDALE,MS,32.46,-88.81,TORNADO RATED EF-0 WITH MAXIMUM WINDS OF 80 MPH...PATH LENGTH OF 12 MILES AND PATH WIDTH OF 100 YDS...MOVING FROM 7.5 MILES NW OF MERIDIAN TO 9 MILES NORTH OF MERIDIAN. (JAN)
2246,UNK,BLOUNTSVILLE,BLOUNT,AL,34.1,-86.58,*** 1 INJ *** MULTIPLE HOMES DESTROYED IN BLOUNTSVILLE. ONE INJURY CONFIRMED AT THIS TIME. (BMX)
2247,UNK,3 SW HYATT,MARSHALL,AL,34.2,-86.38,TORNADO ON GROUND AT NIXON CHAPEL (HUN)
2250,UNK,5 S PINEVILLE,SMITH,MS,32.06,-89.39,TORNADO REPORTED WITH EXTENSIVE TREE DAMAGE...EMERGENCY CREWS HAVING DIFFICULTY GETTING INTO THE AREA...UPDATE...MOBILE HOME DESTROYED ON COUNTY ROAD 107...EXTENSIVE TR (JAN)
2256,UNK,HUEYTOWN,JEFFERSON,AL,33.44,-87,MAJOR DAMAGE IN HUEYTOWN...HOUSES LEVELED. (BMX)
2300,UNK,2 NW MERIDIAN,LAUDERDALE,MS,32.41,-88.74,TREES AND POWERLINES DOWN. BROADCAST MEDIA REPORTS VIDEO OF LARGE TORNADO IN AREA. (JAN)
